Year,Artist,Album,Song,Co-written with
2011,Jessie J,Who You Are,"""Domino""","Lukasz Gottwald, Claude Kelly, Jessica Cornish, Henry Walter[2]"
2011,Cervello,Cervello,"""Cause I Am""","Alexandra Talomaa, Pierre Stenson, Rickard Eriksson, Sigvard Jarrebring, Gunnar Lilja[3]"
2012,Katy Perry,Teenage Dream: The Complete Confection,"""Part of Me""","Lukasz Gottwald, Bonnie McKee, Katy Perry"
2012,Katy Perry,Teenage Dream: The Complete Confection,"""Wide Awake""","Katy Perry, Lukasz Gottwald, Bonnie McKee, Henry Walter"
2012,Nicki Minaj,Pink Friday: Roman Reloaded,"""Va Va Voom""","Onika Maraj, Lukasz Gottwald, Allan Grigg, Henry Walter"
2012,Nicki Minaj,Pink Friday: Roman Reloaded,"""Masquerade""","Onika Maraj, Lukasz Gottwald, Benjamin Levin, Henry Walter"
2012,Maroon 5,Overexposed,"""One More Night""","Adam Levine, Johan Schuster, Savan Kotecha"
2012,Maroon 5,Overexposed,"""Daylight""","Adam Levine, Mason Levy, Sam Martin"
2012,Usher,Looking 4 Myself,"""Scream""","Johan Schuster, Savan Kotecha, Usher Raymond IV"
2012,Justin Bieber,Believe,"""Beauty and a Beat""","Savan Kotecha, Anton Zaslavski, Onika Maraj"
2012,will.i.am,#willpower,"""This Is Love""","Eva Simons, William Adams, Steve Angello, Sebastian Ingrosso, Mike Hamilton"
2012,Taio Cruz,TY.O,"""Fast Car""","Taio Cruz, Klas Åhlund, Alexander Kronlund, Usher Raymond IV, Adam Baptiste"
2012,Pink,The Truth About Love,"""Slut Like You""","Alecia Moore, Johan Schuster"
2012,Taylor Swift,Red,"""We Are Never Ever Getting Back Together""","Taylor Swift, Johan Schuster"
2012,Taylor Swift,Red,"""22""","Taylor Swift, Johan Schuster"
2012,Taylor Swift,Red,"""I Knew You Were Trouble""","Taylor Swift, Johan Schuster"
2012,Christina Aguilera,Lotus,"""Your Body""","Tiffany Amber, Savan Kotecha, Johan Schuster"
2012,Christina Aguilera,Lotus,"""Let There Be Love""","Johan Schuster, Savan Kotecha, Bonnie McKee, Oliver Goldstein, Oscar Holter, Jakke Erixson"
2012,Carly Rae Jepsen,Kiss,"""Tonight I'm Getting Over You""","Carly Rae Jepsen, Lukas Hilbert, Clarence Coffee Jr, Shiloh Hoganson, Katerina Loules"
2012,Kesha,Warrior,"""Warrior""","Kesha Sebert, Pebe Sebert, Lukasz Gottwald, Henry Walter"
2012,Kesha,Warrior,"""C'Mon""","Kesha Sebert, Lukasz Gottwald, Benjamin Levin, Bonnie McKee, Henry Walter"
2012,Kesha,Warrior,"""Wherever You Are""","Kesha Sebert, Lukasz Gottwald, Henry Walter"
2012,Kesha,Warrior,"""Only Wanna Dance with You""","Kesha Sebert, Lukasz Gottwald, Henry Walter"
2012,Kesha,Warrior,"""Supernatural""","Kesha Sebert, Lukasz Gottwald, Benjamin Levin, Nik Kershaw, Henry Walter"
2012,Kesha,Warrior,"""All That Matters (The Beautiful Life)""","Kesha Sebert, Lukas Hilbert, Savan Kotecha, Alexander Kronlund, Johan Schuster"
